"name","price","url"
"Abraçadeira Preta MD9 3mm X 100mm 100 Un.","R$ 8,90","https://www.portinfo.com.br/produto/abracadeira-preta-md9-3mm-x-100mm-100-un-5376"
"Abraçadeira Preta MD9 3mm X 150mm 100 Un.","R$ 11,90","https://www.portinfo.com.br/produto/abracadeira-preta-md9-3mm-x-150mm-100-un-5377"
"Adaptador 3 em 1 SD + Pen Drive + Cartão de Memória 32GB MC113 Multilaser","R$ 96,90","https://www.portinfo.com.br/produto/adaptador-3-em-1-sd-pen-drive-cartao-de-memoria-32gb-mc113-multilaser-1111"
"Adaptador Bluetooth Com Aux P2 5+","R$ 17,90","https://www.portinfo.com.br/produto/adaptador-bluetooth-com-aux-p2-5-2879"
"Adaptador Cabo 1 P3 Macho / 2 P2 Fêmea Branco MD9","R$ 9,90","https://www.portinfo.com.br/produto/adaptador-cabo-1-p3-macho-2-p2-femea-branco-md9-9682"
"Adaptador Cabo MD9 2 P2 Macho Para 1 P2 Fêmea","R$ 8,90","https://www.portinfo.com.br/produto/adaptador-cabo-md9-2-p2-macho-para-1-p2-femea-5338"
"Adaptador Cabo MD9 P3 Macho Para 2 P2 Macho Preto","R$ 14,90","https://www.portinfo.com.br/produto/adaptador-cabo-md9-p3-macho-para-2-p2-macho-preto-5604"
"Adaptador de Pinagem Intelbras Adaptador 10 Rj9","R$ 59,90","https://www.portinfo.com.br/produto/adaptador-de-pinagem-intelbras-adaptador-10-rj9-10078"
"Adaptador de Rede USB 3.0 Ethernet UE300 TP-Link","R$ 161,90","https://www.portinfo.com.br/produto/adaptador-de-rede-usb-30-ethernet-ue300-tp-link-1963"
"Adaptador de Tomada 15A Padrão Antigo Para Novo 64122 SMS","R$ 11,90","https://www.portinfo.com.br/produto/adaptador-de-tomada-15a-padrao-antigo-para-novo-64122-sms-336"
